Cluster,silhueta,davies
2,0.25914508,1.5063961275062092
3,0.34485683,1.0624809509291941
4,0.3135398,0.9668166022500209
5,0.27999535,1.134931944526366
6,0.25827533,1.135044673990055
7,0.28954083,1.010326476106756
8,0.32355258,0.8528702699318265
9,0.28244355,0.816081878672551
10,0.2735373,0.856550277735036
11,0.31561205,0.7989892782442614
12,0.2611405,0.7041222778145774
Cluster,silhueta,davies
2,0.25914508,1.5063961275062092
3,0.34485683,1.0624809509291941
4,0.3135398,0.9668166022500209
5,0.27999535,1.134931944526366
6,0.25827533,1.135044673990055
7,0.28954083,1.010326476106756
8,0.32355258,0.8528702699318265
9,0.28244355,0.816081878672551
10,0.2735373,0.856550277735036
11,0.31561205,0.7989892782442614
12,0.2611405,0.7041222778145774
