Cluster,silhueta,davies
2,0.19407277,1.625403751219346
3,0.19180515,1.2152061364118432
4,0.35255012,0.8910015872699504
5,0.32166228,0.8578792862825866
6,0.31947356,0.8549501384592452
7,0.32224756,0.9027781328764016
8,0.37709647,0.858950202472811
9,0.32439446,0.8175860308493135
10,0.32863706,0.7214931924169848
11,0.2566773,0.7868206484187127
12,0.2190845,0.7792809222480632
