Cluster,silhueta,davies
2,0.37610844,0.9515135971811262
3,0.42623368,0.8298871608489867
4,0.4240346,0.8632568622861155
5,0.4017623,0.9163581510444316
6,0.42107782,0.9196284804508182
7,0.40486807,0.9354479506032
8,0.34522995,1.0333466281430002
9,0.3215097,1.0224677948775913
10,0.22995296,1.1138950581833114
11,0.22082746,1.104247063878289
12,0.2563129,1.0411065722938846
Cluster,silhueta,davies
2,0.37610844,0.9515135971811262
3,0.42623368,0.8298871608489867
4,0.4240346,0.8632568622861155
5,0.4017623,0.9163581510444316
6,0.42107782,0.9196284804508182
7,0.40486807,0.9354479506032
8,0.34522995,1.0333466281430002
9,0.3215097,1.0224677948775913
10,0.22995296,1.1138950581833114
11,0.22082746,1.104247063878289
12,0.2563129,1.0411065722938846
